state,total_pop,asian,black,indian,latino,mixed,other,pacific,white,median_inc,poverty,state_name,geoid,statefp
MD,6161707.0,396983.0,1815877.0,8480.0,672905.0,243820.0,32532.0,2105.0,2989005.0,98461.0,558567.0,Maryland,0400000US24,24
MA,6984205.0,484291.0,459848.0,6760.0,879296.0,271251.0,70860.0,2212.0,4809687.0,96505.0,672361.0,Massachusetts,0400000US25,25
MI,10057921.0,325464.0,1346918.0,35080.0,550427.0,369637.0,33783.0,2472.0,7394140.0,68505.0,1293164.0,Michigan,0400000US26,26
MN,5695292.0,284384.0,377173.0,43877.0,327049.0,215392.0,22008.0,1967.0,4423442.0,84313.0,516284.0,Minnesota,0400000US27,27
MS,2958846.0,28663.0,1098675.0,10704.0,97123.0,61811.0,7793.0,905.0,1653172.0,52985.0,548804.0,Mississippi,0400000US28,28
MO,6154422.0,125882.0,688219.0,12789.0,280078.0,244888.0,20236.0,8193.0,4774137.0,65920.0,766582.0,Missouri,0400000US29,29
MT,1091840.0,9002.0,5248.0,61081.0,45881.0,42347.0,3960.0,658.0,923663.0,66341.0,132329.0,Montana,0400000US30,30
NE,1958939.0,48446.0,91357.0,12132.0,230769.0,60476.0,4940.0,1043.0,1509776.0,71722.0,198466.0,Nebraska,0400000US31,31
NV,3104817.0,256661.0,278689.0,22068.0,918509.0,153600.0,15375.0,19991.0,1439924.0,71646.0,389456.0,Nevada,0400000US32,32
NH,1379610.0,36232.0,18477.0,1332.0,58654.0,42906.0,3974.0,325.0,1217710.0,90845.0,98162.0,New Hampshire,0400000US33,33
NJ,9249063.0,905752.0,1147770.0,7905.0,1963423.0,258811.0,63188.0,1799.0,4900415.0,97126.0,879179.0,New Jersey,0400000US34,34
NM,2112463.0,32214.0,37996.0,178608.0,1051626.0,50798.0,7680.0,1117.0,752424.0,58722.0,378651.0,New Mexico,0400000US35,35
NY,19994379.0,1752744.0,2767223.0,38481.0,3895714.0,613623.0,159321.0,5458.0,10761815.0,81386.0,2655662.0,New York,0400000US36,36
NC,10470214.0,322895.0,2161841.0,91599.0,1051008.0,341905.0,38864.0,6114.0,6455988.0,66186.0,1357418.0,North Carolina,0400000US37,37
ND,776874.0,12380.0,24882.0,34275.0,33189.0,24629.0,1651.0,1449.0,644419.0,73959.0,80810.0,North Dakota,0400000US38,38
OH,11774683.0,281238.0,1431238.0,9032.0,494625.0,422364.0,37838.0,3574.0,9094774.0,66990.0,1526507.0,Ohio,0400000US39,39
OK,3970497.0,90666.0,277702.0,277945.0,458686.0,318993.0,10368.0,6210.0,2529927.0,61364.0,585991.0,Oklahoma,0400000US40,40
OR,4229374.0,185149.0,75790.0,31339.0,583066.0,219864.0,17376.0,16000.0,3100790.0,76632.0,494158.0,Oregon,0400000US41,41
PA,12989208.0,469434.0,1347784.0,8215.0,1055108.0,386786.0,48071.0,2662.0,9671148.0,73170.0,1482439.0,Pennsylvania,0400000US42,42
RI,1094250.0,37177.0,58304.0,2061.0,183196.0,40464.0,8442.0,446.0,764160.0,81370.0,118033.0,Rhode Island,0400000US44,44
SC,5142750.0,84972.0,1316074.0,10304.0,318875.0,150550.0,19361.0,2443.0,3240171.0,63623.0,717849.0,South Carolina,0400000US45,45
SD,890342.0,12678.0,19172.0,67419.0,39197.0,31410.0,1920.0,490.0,718056.0,69457.0,105542.0,South Dakota,0400000US46,46
TN,6923772.0,127367.0,1116871.0,8159.0,412622.0,207431.0,23185.0,3173.0,5024964.0,64035.0,943583.0,Tennessee,0400000US47,47
TX,29243342.0,1487200.0,3449557.0,49329.0,11665280.0,749031.0,86899.0,23212.0,11732834.0,73035.0,3990326.0,Texas,0400000US48,48
UT,3283809.0,76283.0,34485.0,23449.0,480843.0,106852.0,10595.0,30071.0,2521231.0,86833.0,275188.0,Utah,0400000US49,49
VT,643816.0,10678.0,7548.0,999.0,13793.0,20484.0,1543.0,133.0,588638.0,74014.0,64739.0,Vermont,0400000US50,50
VA,8624511.0,586554.0,1601668.0,11625.0,865015.0,341207.0,40648.0,5397.0,5172397.0,87249.0,836686.0,Virginia,0400000US51,51
WA,7688549.0,702336.0,290907.0,67829.0,1037153.0,465280.0,35220.0,51303.0,5038521.0,90325.0,747538.0,Washington,0400000US53,53
WV,1792967.0,13460.0,60237.0,1465.0,32910.0,54844.0,4004.0,631.0,1625416.0,55217.0,291860.0,West Virginia,0400000US54,54
WI,5882128.0,167512.0,356150.0,36369.0,430976.0,175591.0,14661.0,1902.0,4698967.0,72458.0,611661.0,Wisconsin,0400000US55,55
WY,577929.0,4551.0,4488.0,10782.0,60518.0,17571.0,2564.0,534.0,476921.0,72495.0,60134.0,Wyoming,0400000US56,56
PR,3272382.0,2526.0,4043.0,112.0,3231327.0,2924.0,4260.0,0.0,27190.0,24002.0,1368360.0,Puerto Rico,0400000US72,72
