city,state,population
Santa Clarita,CA,225850
Baton Rouge,LA,225500
Enterprise CDP,NV,225461
Hialeah,FL,222996
San Bernardino,CA,221041
Spring Valley CDP,NV,220114
Tacoma,WA,219234
Modesto,CA,218308
Huntsville,AL,215025
Des Moines,IA,213164
Rochester,NY,210992
Port St. Lucie,FL,210520
Yonkers,NY,209780
Moreno Valley,CA,209578
Fontana,CA,209279
Fayetteville,NC,208697
Columbus,GA,204572
Worcester,MA,204191
Oxnard,CA,202279
Little Rock,AR,202218
Frisco,TX,202075
Augusta-Richmond County consolidated government (balance),GA,201615
Salt Lake City,UT,201269
Birmingham,AL,200431
Amarillo,TX,200360
Montgomery,AL,199819
Cape Coral,FL,198912
Sunrise Manor CDP,NV,198325
Tallahassee,FL,198259
Grand Rapids,MI,198096
Huntington Beach,CA,197481
Grand Prairie,TX,197279
Overland Park,KS,196676
McKinney,TX,196160
Glendale,CA,194512
Sioux Falls,SD,193401
Knoxville,TN,191857
Peoria,AZ,191292
Vancouver,WA,190700
Akron,OH,190273
Paradise CDP,NV,189733
Providence,RI,189715
Brownsville,TX,186999
Mobile,AL,186316
Shreveport,LA,186183
Newport News,VA,185118
Fort Lauderdale,FL,182673
Aurora,IL,181405
Chattanooga,TN,181288
Tempe,AZ,181005
Santa Rosa,CA,178221
Eugene,OR,176755
Ontario,CA,176326
Elk Grove,CA,176105
Salem,OR,175754
Cary town,NC,174880
Rancho Cucamonga,CA,174696
Oceanside,CA,173722
Garden Grove,CA,171637
Lancaster,CA,171465
Pembroke Pines,FL,170472
Springfield,MO,168873
Fort Collins,CO,168758
Bayamón zona urbana,PR,168698
Clarksville,TN,167882
Palmdale,CA,166895
Salinas,CA,162783
Hayward,CA,160602
Corona,CA,158346
Paterson,NJ,157864
Alexandria,VA,157594
Macon-Bibb County,GA,156554
Lakewood,CO,156149
Kansas City,KS,155438
Springfield,MA,155305
Sunnyvale,CA,154573
Killeen,TX,153708
Murfreesboro,TN,153487
Jackson,MS,153271
Hollywood,FL,152764
Escondido,CA,151114
Pasadena,TX,150620
Bellevue,WA,150606
Joliet,IL,150221
Charleston,SC,149960
Pomona,CA,149831
Mesquite,TX,149439
Naperville,IL,149089
Roseville,CA,148879
Bridgeport,CT,148470
Rockford,IL,148173
Savannah,GA,147583
Syracuse,NY,146134
Surprise,AZ,145591
Torrance,CA,145454
McAllen,TX,142722
Gainesville,FL,142414
Fullerton,CA,142280
Denton,TX,142262
Olathe,KS,142114
Thornton,CO,141799
Visalia,CA,141466
Waco,TX,140545
Metairie CDP,LA,140046
Carolina zona urbana,PR,139201
West Valley City,UT,138868
Orange,CA,138728
Warren,MI,138588
Pasadena,CA,137554
Dayton,OH,137305
Hampton,VA,137217
Cedar Rapids,IA,136929
Columbia,SC,136754
New Haven,CT,135736
Elizabeth,NJ,135665
Stamford,CT,135413
Kent,WA,135169
Miramar,FL,135158
Victorville,CA,134417
Coral Springs,FL,133801
Sterling Heights,MI,133744
Midland,TX,132490
Carrollton,TX,132284
Santa Clara,CA,128058
Norman,OK,127701
Fargo,ND,127319
Athens-Clarke County unified government (balance),GA,126672
Thousand Oaks,CA,126532
Topeka,KS,126431
Abilene,TX,126356
Columbia,MO,126172
Simi Valley,CA,126153
Allentown,PA,125292
Vallejo,CA,125132
Lewisville,TX,125028
Concord,CA,125007
Pearland,TX,124478
Lehigh Acres CDP,FL,124440
Arvada,CO,123066
Independence,MO,122218
Ann Arbor,MI,122216
Lafayette,LA,121706
Palm Bay,FL,121513
Berkeley,CA,121385
Hartford,CT,121057
Rochester,MN,120848
Clovis,CA,120607
Round Rock,TX,120465
College Station,TX,120451
Meridian,ID,119872
Fairfield,CA,119420
The Woodlands CDP,TX,118402
Richardson,TX,118063
Cambridge,MA,117962
West Palm Beach,FL,117588
East Los Angeles CDP,CA,117222
Billings,MT,117093
Clearwater,FL,116984
Wilmington,NC,116933
Evansville,IN,116906
Spring Hill CDP,FL,116882
West Jordan,UT,116383
North Charleston,SC,115755
Richmond,CA,115619
Westminster,CO,115502
Manchester,NH,115037
Antioch,CA,115016
Brandon CDP,FL,114923
Carlsbad,CA,114745
Lowell,MA,114737
Beaumont,TX,114573
Waterbury,CT,114480
Lakeland,FL,114404
Provo,UT,114400
Broken Arrow,OK,114237
Springfield,IL,114214
Elgin,IL,114190
High Point,NC,114120
